Date,Time,Direction,Type,Occupancy,Vehicle Age(years),Brand Name
23-10-2023,10.00am,out,car,3,6,Mercedes
23-10-2023,10.00am,out,bus,1,7,Aquae
23-10-2023,10.02am,out,car,1,16,Hyundai
23-10-2023,10.02am,out,bus,1,7,Aquae
23-10-2023,10.04am,out,taxi,1,2,Toyota
23-10-2023,10.04am,out,car,1,7,Toyota
23-10-2023,10.04am,out,car,1,5,Volkswagon
23-10-2023,10.04am,out,car,1,5,Ford
23-10-2023,10.05am,out,car,1,11,Volkswagon
23-10-2023,10.06am,out,bus,7,7,Aquae
23-10-2023,10.06am,out,car,1,5,Audi
23-10-2023,10.06am,out,van,2,5,Toyota
23-10-2023,10.07am,out,car,1,12,Volkswagon
23-10-2023,10.08am,out,bicycle,1,N/A,Specialized
23-10-2023,10.09am,out,car,2,5,Hyundai
23-10-2023,10.09am,out,car,1,8,Peugeot
23-10-2023,10.10am,out,car,2,9,Toyota
23-10-2023,10.11am,out,lorry,2,3,Volvo
23-10-2023,10.11am,out,car,2,5,Skoda
23-10-2023,10.12am,out,car,1,5,Kia
23-10-2023,10.13am,out,bus,34,6,Aquae
23-10-2023,10.15am,out,car,1,6,Hyundai
23-10-2023,10.15am,out,car,1,4,Ford
23-10-2023,10.15am,out,car,1,5,Kia
23-10-2023,10.15am,out,bus,4,7,Aquae
23-10-2023,10.15am,out,car,1,7,Renault
23-10-2023,10.16am,out,car,1,6,Range Rover
23-10-2023,10.16am,out,van,2,2,Toyota
23-10-2023,10.17am,out,taxi,1,4,Hyundai
23-10-2023,10.17am,out,bus,2,7,Aquae
23-10-2023,10.18am,out,taxi,1,5,Toyota
23-10-2023,10.19am,out,car,1,3,Hyundai
23-10-2023,10.19am,out,car,1,14,BMW
23-10-2023,10.19am,out,car,2,0,Honda
23-10-2023,10.19am,out,van,2,6,Toyota
23-10-2023,10.20am,out,van,1,6,Toyota
23-10-2023,10.20am,out,car,1,12,Seat
23-10-2023,10.21am,out,bus,1,7,Aquae
23-10-2023,10.21am,out,car,1,22,Volkswagon
23-10-2023,10.21am,out,car,1,4,Bentley
23-10-2023,10.21am,out,car,1,11,Citroën
23-10-2023,10.22am,out,bus,3,6,Aquae
23-10-2023,10.22am,out,bus,1,7,Aquae
23-10-2023,10.23am,out,car,1,2,Fiat
23-10-2023,10.23am,out,car,1,6,Kia
23-10-2023,10.24am,out,bicycle,1,N/A,Trek
23-10-2023,10.24am,out,car,1,6,Skoda
23-10-2023,10.24am,out,bus,7,7,Aquae
23-10-2023,10.25am,out,car,1,4,Mitsubishi
23-10-2023,10.25am,out,car,1,9,Volkswagon
23-10-2023,10.25am,out,car,1,6,Hyundai
23-10-2023,10.25am,out,car,1,1,Bentley
23-10-2023,10.25am,out,car,1,10,Ford
23-10-2023,10.25am,out,car,2,18,Volkswagon
23-10-2023,10.26am,out,car,3,11,Volkswagon
23-10-2023,10.26am,out,bus,1,7,Aquae
23-10-2023,10.27am,out,car,1,5,Ford
23-10-2023,10.27am,out,bus,1,6,Wessex
23-10-2023,10.27am,out,car,1,9,Citroën
23-10-2023,10.28am,out,bicycle,1,N/A,Specialized
23-10-2023,10.30am,out,bus,7,7,Aquae
23-10-2023,10.30am,out,bus,28,7,Aquae
